,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,hand
0,4,9,2,1,2,2,4,7,2,8,Zero
1,1,4,3,6,1,12,3,11,2,7,Zero
2,1,11,4,1,3,7,4,11,2,1,Two
3,2,9,2,4,3,6,1,9,4,9,Three
4,1,8,2,4,2,11,2,2,2,1,Zero
5,2,5,1,5,2,13,2,3,3,13,Two
6,3,10,4,6,1,4,2,13,4,5,Zero
7,4,10,3,1,2,13,4,2,4,7,Zero
8,3,2,4,10,3,3,4,4,1,9,Zero
9,2,7,3,8,4,8,2,13,2,12,One
10,2,5,1,3,2,10,3,2,2,1,Zero
11,1,6,2,12,4,7,2,10,1,1,Zero
12,4,2,4,9,1,12,3,7,2,11,Zero
13,2,6,1,5,3,3,4,2,4,5,One
14,1,6,3,12,4,11,2,11,3,13,One
15,2,5,2,4,4,9,2,3,3,2,Zero
16,4,9,4,11,3,8,3,9,3,5,One
17,1,9,2,4,1,11,3,4,1,13,One
18,1,11,3,13,4,8,4,1,3,6,Zero
19,2,6,1,12,3,8,4,1,4,6,One
20,2,9,3,7,1,13,2,13,1,2,One
21,4,4,2,13,3,6,2,7,3,3,Zero
22,3,6,1,4,3,1,2,5,4,9,Zero
23,1,4,4,3,2,11,4,13,1,10,Zero
24,3,9,2,7,2,4,2,1,1,10,Zero
25,2,4,4,2,1,4,4,1,3,11,One
26,2,8,1,4,3,11,1,8,1,2,One
27,3,8,1,12,4,1,4,10,1,3,Zero
28,2,12,1,5,1,2,1,10,2,8,Zero
29,2,4,4,7,4,2,4,11,2,2,One
30,1,10,3,3,1,6,2,7,3,12,Zero
31,4,3,1,6,3,13,2,7,2,4,Zero
32,3,9,2,8,1,10,1,3,2,12,Zero
33,2,6,1,7,2,8,4,11,3,2,Zero
34,3,11,3,13,4,10,2,1,2,4,Zero
35,4,2,2,8,1,3,3,11,4,11,One
36,3,1,1,12,4,3,3,2,4,8,Zero
37,1,12,3,1,3,2,2,13,2,1,One
38,3,1,1,12,2,2,2,8,1,4,Zero
39,2,1,1,2,3,12,3,2,3,9,One
40,1,7,2,6,1,11,2,10,1,9,Zero
41,4,12,2,9,2,4,4,6,3,9,One
42,4,3,2,4,3,6,4,7,1,11,Zero
43,1,11,3,4,2,4,3,10,4,2,One
44,4,8,4,9,2,7,1,10,4,11,Four
45,4,5,3,3,4,2,3,13,3,8,Zero
46,1,5,4,3,3,4,4,4,4,12,One
47,3,2,2,2,4,8,1,8,2,3,Two
48,3,13,3,9,1,10,2,8,2,13,One
49,2,7,3,5,3,2,4,8,3,12,Zero
50,4,1,4,9,3,6,4,6,2,13,One
51,3,7,4,6,4,9,1,5,3,6,One
52,2,1,3,4,1,10,2,13,4,11,Zero
53,2,4,4,8,3,4,2,3,1,1,One
54,2,13,1,10,1,13,3,11,1,5,One
55,4,7,2,13,3,5,1,7,3,7,Three
56,2,1,1,9,1,7,2,3,3,12,Zero
57,4,10,2,11,2,9,4,5,1,8,Zero
58,3,12,2,12,4,12,4,5,3,4,Three
59,2,7,2,5,2,3,1,2,3,13,Zero
60,4,13,1,12,3,6,1,4,2,5,Zero
61,1,8,1,3,3,9,1,2,2,4,Zero
62,4,8,4,11,1,2,2,4,3,11,One
63,2,11,1,3,1,4,4,7,1,9,Zero
64,2,12,3,11,4,4,1,10,1,8,Zero
65,1,4,2,11,3,5,3,10,4,12,Zero
66,2,13,1,13,1,1,2,12,1,7,One
67,3,13,3,12,1,8,1,6,4,9,Zero
68,4,10,3,2,1,10,4,9,4,1,One
69,2,11,4,12,3,5,1,3,3,2,Zero
70,1,2,2,7,2,5,3,11,4,1,Zero
71,3,10,2,2,1,12,2,7,4,4,Zero
72,2,1,1,13,1,4,1,1,2,7,One
73,3,6,2,2,1,13,1,11,3,9,Zero
74,3,6,4,10,2,8,1,7,1,1,Zero
75,1,8,1,5,2,13,2,2,1,9,Zero
76,2,10,4,12,1,7,2,13,4,10,One
77,1,12,4,3,1,3,3,6,3,10,One
78,1,8,2,7,4,4,1,1,1,2,Zero
79,2,9,2,12,1,3,3,1,4,12,One
80,4,9,2,10,3,5,2,12,3,1,Zero
81,1,7,3,2,4,1,3,9,2,6,Zero
82,3,6,1,9,2,11,1,2,2,10,Zero
83,3,4,3,2,4,13,4,11,1,13,One
84,2,10,4,5,4,6,2,8,2,6,One
85,3,11,4,4,2,9,1,1,4,9,One
86,3,10,2,3,3,2,2,1,1,6,Zero
87,2,4,3,1,3,12,4,1,2,8,One
88,3,10,1,8,4,3,3,5,1,10,One
89,4,7,2,8,1,2,4,2,2,3,One
90,4,2,2,12,1,1,2,5,4,5,One
91,1,2,2,10,4,9,3,12,4,10,One
92,4,7,4,3,2,4,2,3,4,6,One
93,3,10,4,11,3,5,4,6,3,12,Zero
